id,name,parent_id,description,founded
abkhaz,Abkhaz,caucasian_peoples,,
aboriginal_australian,Aboriginal Australian,aboriginal_cluster,,
aboriginal_cluster,Aboriginal Cluster,southeast_asian_oceanic_bloc,,
afar,Afar,cushitic_cluster,,
ainu,Ainu,extinct_modern_groups,,
akan,Akan,kwa_guinea_cluster,,
akkadian,Akkadian,ancient_semitic_groups,,
amazonian_other_south_american_cluster,Amazonian & Other South American Cluster,american_indigenous_bloc,,
american_indigenous_bloc,AMERICAN INDIGENOUS BLOC,,,
amhara,Amhara,modern_semitic_groups,,
ancient_european,Ancient European,historical_extinct_ethnic_groups,,
ancient_greek,Ancient Greek,hellenic_cluster,,
ancient_mediterranean,Ancient Mediterranean,historical_extinct_ethnic_groups,,
ancient_near_eastern,Ancient Near Eastern,historical_extinct_ethnic_groups,,
ancient_semitic_groups,Ancient Semitic Groups,semitic_cluster,,
andean_cluster,Andean Cluster,american_indigenous_bloc,,
anglo_saxon,Anglo-Saxon,germanic_cluster,,
apache,Apache,north_american_cluster,,
arab,Arab,modern_semitic_groups,,
armenian_diaspora,Armenian diaspora,trading_merchant_communities,,
assamese,Assamese,indo_aryan_cluster,,
assyrian,Assyrian,ancient_semitic_groups,,
austronesian_cluster,Austronesian Cluster,southeast_asian_oceanic_bloc,,
aymara,Aymara,andean_cluster,,
azerbaijani,Azerbaijani,turkic_cluster,,
aztec,Aztec,mesoamerican_cluster,,
babylonian,Babylonian,ancient_semitic_groups,,
bactrian,Bactrian,central_asian_silk_road,,
baltic_cluster,Baltic Cluster,eurasian,,
bambara_mandinka,Bambara / Mandinka,mande_cluster,,
bantoid_cluster,Bantoid Cluster,sub_saharan_african_bloc,,
beja,Beja,cushitic_cluster,,
belarusian,Belarusian,east_slavic,,
bengali,Bengali,indo_aryan_cluster,,
berber_amazigh_cluster,Berber / Amazigh Cluster,middle_eastern_north_african_bloc,,
blackfoot,Blackfoot,north_american_cluster,,
breton,Breton,celtic_cluster,,
bulgarian,Bulgarian,south_slavic,,
burmese,Burmese,tibeto_burman_cluster,,
buryat,Buryat,mongolic_cluster,,
caribbean_indigenous,Caribbean Indigenous (Arawak/Carib),american_indigenous_bloc,,Taíno and Carib peoples
catalan,Catalan,romance_cluster,,
caucasian_other_regional_clusters,CAUCASIAN & OTHER REGIONAL CLUSTERS,,,
caucasian_peoples,Caucasian Peoples,caucasian_other_regional_clusters,,
cebuano,Cebuano,austronesian_cluster,,
celtic_cluster,Celtic Cluster,eurasian,,
celtic_peoples,Celtic peoples,ancient_european,,
central_asian_silk_road,Central Asian & Silk Road,caucasian_other_regional_clusters,,
central_asian_steppe_bloc,CENTRAL ASIAN & STEPPE BLOC,,,
chechen,Chechen,caucasian_peoples,,
cherokee,Cherokee,north_american_cluster,,
cheyenne,Cheyenne,north_american_cluster,,
chinese_diaspora,Chinese diaspora,trading_merchant_communities,,
circassian,Circassian,caucasian_peoples,,
coptic,Coptic,religious_ethnic_groups,,
creek,Creek,north_american_cluster,,
creole,Creole,hybrid_multi_ethnic_groups,,
croatian,Croatian,south_slavic,,
crow,Crow,north_american_cluster,,
cushitic_cluster,Cushitic Cluster,middle_eastern_north_african_bloc,,
czech,Czech,west_slavic,,
diaspora_cosmopolitan_communities,DIASPORA & COSMOPOLITAN COMMUNITIES,,,
dinka,Dinka,nilotic_cluster,,
dravidian_cluster,Dravidian Cluster,south_asian,,
druze,Druze,levantine_diaspora,,
dutch,Dutch,germanic_cluster,,
east_asian_bloc,EAST ASIAN BLOC,,,
east_slavic,East Slavic,slavic_cluster,,
egyptian,Egyptian,egyptian_cluster,,
egyptian_cluster,Egyptian Cluster,middle_eastern_north_african_bloc,,
elamite,Elamite,ancient_near_eastern,,
english,English,germanic_cluster,,
estonian,Estonian,uralic_cluster,,
etruscan,Etruscan,ancient_mediterranean,,
eurasian,EURASIAN,,,
evenki,Evenki,tungusic_cluster,,
ewe,Ewe,kwa_guinea_cluster,,
