id,name,parent_id,description,founded
!kung_ju|'hoansi,!Kung / Ju|'hoansi,khoisan_khoe_kwadi,,
abaza,Abaza,northwest_caucasian,,
abkhazian,Abkhazian,northwest_caucasian,,
acehnese,Acehnese,western_malayo_polynesian_group_—_malay,,
adyghe,Adyghe,northwest_caucasian,,
afar,Afar,cushitic_branch,,
afrikaans,Afrikaans,west_germanic_group,,
afro_asiatic,AFRO-ASIATIC,,,
agul,Agul,lezgic_branch,,
ainu,()Ainu,language_isolates,,
akan,Akan,kwa_branch,,
akkadian,Akkadian,east_semitic_group,,
albanian,Albanian,albanian_branch,,
albanian_branch,Albanian Branch,indo_european,,
aleut_branch,Aleut Branch,eskimo_aleut,,
aleut_unangan,Aleut / Unangan,aleut_branch,,
algic,ALGIC,,,
algonquian_branch,Algonquian Branch,algic,,
altai,Altai,siberian_branch,,
amharic,Amharic,south_semitic_group_—_ethiopian,,
amis,Amis,formosan_branch,,
ammonite,Ammonite,northwest_semitic_group,,
anatolian_branch,Anatolian Branch,indo_european,,
ancient_classical_greek_group,Ancient / Classical Greek Group,hellenic_branch,,
ancient_greek,Ancient Greek,ancient_classical_greek_group,,
ancient_macedonian,Ancient Macedonian,paleo_balkan_branch,,
apabhramsha,Apabhramsha,indo_aryan_group,,
apache,Apache,athabaskan_branch,,
arabic_dialects,Arabic dialects,south_semitic_group_—_arabic,,
aramaic,Aramaic,northwest_semitic_group,,
araucanian_mapuche,Araucanian / Mapuche,other_south_american_families,,
armenian,Armenian,armenian_branch,,
armenian_branch,Armenian Branch,indo_european,,
aromanian,Aromanian,eastern_romance_group,,
arpitan_franco_provençal,Arpitan / Franco-Provençal,gallo_romance_group,,
arrernte_aranda,Arrernte / Aranda,australian,,
assamese,Assamese,indo_aryan_group,,
assyrian_dialect,Assyrian dialect,east_semitic_group,,
atayal,Atayal,formosan_branch,,
athabaskan_branch,Athabaskan Branch,na_dene,,
atlantic_branch,Atlantic Branch,niger_congo,,
australian,AUSTRALIAN,,,
austroasiatic,AUSTROASIATIC,,,
austronesian,AUSTRONESIAN,,,
avar,Avar,avar_andic_branch,,
avar_andic_branch,Avar-Andic Branch,northeast_caucasian,,
avestan,Avestan,iranian_group,,
aymara,Aymara,aymaran,,
aymaran,AYMARAN,,,
azerbaijani,Azerbaijani,oghuz_branch,,
