from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years,provenance
umayyad_caliphate,Umayyad Caliphate,abbasid_caliphate,Abbasid Caliphate,contraction,15,arabia|egypt|iran_plateau|khorasan|levant|mesopotamia|north_africa|transoxiana,8,1,0,1,0,0,0,stub
rashidun_caliphate,Rashidun Caliphate,umayyad_caliphate,Umayyad Caliphate,expansion,13,arabia|egypt|iran_plateau|levant|mesopotamia,5,1,0,1,1,0,0,stub
roman_empire,Roman Empire,western_roman_empire,Western Roman Empire,contraction,12,balkans|gaul|iberia|italy|north_africa,5,1,0,1,0,0,0,stub
roman_republic,Roman Republic,roman_empire,Roman Empire,expansion,12,balkans|gaul|iberia|italy|north_africa,5,1,0,1,0,0,0,stub
delhi_sultanate,Delhi Sultanate,mughal_empire,Mughal Empire,expansion,11,ganges_plain|indus_valley|punjab,3,1,0,1,1,0,0,stub
republic_of_china,Republic of China,peoples_republic_of_china,People's Republic of China,same,11,manchuria|yangtze|yellow_river,3,1,0,1,1,0,0,stub
russian_empire,Russian Empire,soviet_union,Soviet Union,contraction,10,caucasus|central_asian_steppe|kievan_rus|lithuania|pontic_steppe|transoxiana,6,0,0,1,0,0,5,stub
kushan_empire,Kushan Empire,hephthalite_empire,Hephthalite Empire,contraction,10,indus_valley|khorasan|punjab|transoxiana,4,1,0,1,1,0,65,stub
rashidun_caliphate,Rashidun Caliphate,abbasid_caliphate,Abbasid Caliphate,expansion,10,arabia|egypt|iran_plateau|levant|mesopotamia,5,1,0,1,0,0,89,stub
kingdom_of_great_britain,Kingdom of Great Britain,united_kingdom,United Kingdom of Great Britain and Ireland,expansion,10,britannia|scotland,2,1,0,1,1,0,0,stub
german_empire,German Empire (Deutsches Reich),weimar_republic,Weimar Republic,same,10,germany|prussia,2,1,0,1,1,0,0,stub
achaemenid_empire,Achaemenid Empire,macedonian_empire,Macedonian Empire (Alexander),contraction,9,anatolia|egypt|iran_plateau|khorasan|levant|mesopotamia|transoxiana,7,0,0,0,0,0,-6,stub
macedonian_empire,Macedonian Empire (Alexander),seleucid_empire,Seleucid Empire,contraction,9,anatolia|iran_plateau|levant|mesopotamia,4,1,0,0,1,0,11,stub
maurya_empire,Maurya Empire,shunga_dynasty,Shunga Dynasty,contraction,9,ganges_plain,1,1,0,1,1,0,0,stub
kingdom_of_prussia,Kingdom of Prussia,weimar_republic,Weimar Republic,contraction,9,germany|prussia,2,1,0,1,0,0,0,stub
ilkhanate,Ilkhanate,jalayirid_sultanate,Jalayirid Sultanate,contraction,9,iran_plateau|mesopotamia,2,1,0,1,0,0,0,stub
goguryeo,Goguryeo,unified_silla,Unified Silla,contraction,9,korean_peninsula,1,1,0,1,1,0,0,stub
republic_of_china,Republic of China,manchukuo,Manchukuo,contraction,9,manchuria,1,1,0,1,1,0,0,stub
western_jin,Western Jin Dynasty,eastern_jin,Eastern Jin Dynasty,contraction,9,yangtze,1,1,0,1,1,0,1,stub
