id,name
anatolia,anatolia
aquitaine,aquitaine
arabia,arabia
balkans,balkans
bohemia,bohemia
britannia,britannia
caucasus,caucasus
central_asian_steppe,central_asian_steppe
deccan,deccan
egypt,egypt
ganges_plain,ganges_plain
gaul,gaul
germany,germany
hungary,hungary
iberia,iberia
indus_valley,indus_valley
iran_plateau,iran_plateau
ireland,ireland
italy,italy
japanese_archipelago,japanese_archipelago
khorasan,khorasan
kievan_rus,kievan_rus
korean_peninsula,korean_peninsula
levant,levant
lithuania,lithuania
manchuria,manchuria
mesopotamia,mesopotamia
mongolian_plateau,mongolian_plateau
north_africa,north_africa
nubia,nubia
poland,poland
pontic_steppe,pontic_steppe
prussia,prussia
punjab,punjab
scandinavia,scandinavia
scotland,scotland
transoxiana,transoxiana
yangtze,yangtze
yellow_river,yellow_river
us_east,us_east
us_south,us_south
us_midwest,us_midwest
us_west,us_west
alaska,alaska
hawaii,hawaii
quebec,quebec
atlantic_canada,atlantic_canada
western_canada,western_canada
mesoamerica,mesoamerica
caribbean,caribbean
andes,andes
amazonia,amazonia
patagonia,patagonia
okinawa,okinawa
